"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"15",2015-03-12,530000,5,2,1810,4850,1.5,FALSE,0,3,7,1810,NA,1900,NA,98107,47.67,-122.394,1360,4850
"16",2015-01-24,650000,4,3,2950,5000,2,FALSE,3,3,9,1980,970,1979,NA,98126,47.5714,-122.375,2140,4000
"17",2014-07-31,395000,3,2,1890,14040,2,FALSE,0,3,7,1890,NA,1994,NA,98019,47.7277,-121.962,1890,14018
"18",2014-05-29,485000,4,1,1600,4300,1.5,FALSE,0,4,7,1600,NA,1916,NA,98103,47.6648,-122.343,1610,4300
"19",2014-12-05,189000,2,1,1200,9850,1,FALSE,0,4,7,1200,NA,1921,NA,98002,47.3089,-122.21,1060,5095
"20",2015-04-24,230000,3,1,1250,9774,1,FALSE,0,4,7,1250,NA,1969,NA,98003,47.3343,-122.306,1280,8850
"21",2014-05-14,385000,4,1.75,1620,4980,1,FALSE,0,4,7,860,760,1947,NA,98133,47.7025,-122.341,1400,4980
"22",2014-08-26,2e+06,3,2.75,3050,44867,1,FALSE,4,3,9,2330,720,1968,NA,98040,47.5316,-122.233,4110,20336
"23",2014-07-03,285000,5,2.5,2270,6300,2,FALSE,0,3,8,2270,NA,1995,NA,98092,47.3266,-122.169,2240,7005
"24",2014-05-16,252700,2,1.5,1070,9643,1,FALSE,0,3,7,1070,NA,1985,NA,98030,47.3533,-122.166,1220,8386
"25",2014-11-20,329000,3,2.25,2450,6500,2,FALSE,0,4,8,2450,NA,1985,NA,98030,47.3739,-122.172,2200,6865
"26",2014-11-03,233000,3,2,1710,4697,1.5,FALSE,0,5,6,1710,NA,1941,NA,98002,47.3048,-122.218,1030,4705
"27",2014-06-26,937000,3,1.75,2450,2691,2,FALSE,0,3,8,1750,700,1915,NA,98119,47.6386,-122.36,1760,3573
"28",2014-12-01,667000,3,1,1400,1581,1.5,FALSE,0,5,8,1400,NA,1909,NA,98112,47.6221,-122.314,1860,3861
"29",2014-06-24,438000,3,1.75,1520,6380,1,FALSE,0,3,7,790,730,1948,NA,98115,47.695,-122.304,1520,6235
"30",2015-03-02,719000,4,2.5,2570,7173,2,FALSE,0,3,8,2570,NA,2005,NA,98052,47.7073,-122.11,2630,6026
"31",2014-11-10,580500,3,2.5,2320,3980,2,FALSE,0,3,8,2320,NA,2003,NA,98027,47.5391,-122.07,2580,3980
"32",2014-12-01,280000,2,1.5,1190,1265,3,FALSE,0,3,7,1190,NA,2005,NA,98133,47.7274,-122.357,1390,1756
"33",2014-06-24,687500,4,1.75,2330,5000,1.5,FALSE,0,4,7,1510,820,1929,NA,98117,47.6823,-122.368,1460,5000
"34",2014-11-10,535000,3,1,1090,3000,1.5,FALSE,0,4,8,1090,NA,1929,NA,98117,47.6889,-122.375,1570,5080
"35",2014-12-03,322500,4,2.75,2060,6659,1,FALSE,0,3,7,1280,780,1981,NA,98058,47.4276,-122.157,2020,8720
"36",2014-06-13,696000,3,2.5,2300,3060,1.5,FALSE,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
"37",2014-05-28,550000,4,1,1660,34848,1,FALSE,0,1,5,930,730,1933,NA,98052,47.6621,-122.132,2160,11467
"38",2014-12-30,640000,4,2,2360,6000,2,FALSE,0,4,8,2360,NA,1904,NA,98107,47.6702,-122.362,1730,4700
"39",2015-02-13,240000,4,1,1220,8075,1,FALSE,0,2,7,890,330,1969,NA,98001,47.3341,-122.282,1290,7800
"40",2014-06-20,605000,4,2.5,2620,7553,2,FALSE,0,3,8,2620,NA,1996,NA,98056,47.5301,-122.18,2620,11884
"41",2014-07-15,625000,4,2.5,2570,5520,2,FALSE,0,3,9,2570,NA,2000,NA,98074,47.6145,-122.027,2470,5669
"42",2014-08-11,775000,4,2.25,4220,24186,1,FALSE,0,3,8,2600,1620,1984,NA,98166,47.445,-122.347,2410,30617
"43",2014-07-07,861990,5,2.75,3595,5639,2,FALSE,0,3,9,3595,NA,2014,NA,98053,47.6848,-122.016,3625,5639
"44",2014-10-28,685000,3,1,1570,2280,2,FALSE,0,3,7,1570,NA,1922,NA,98119,47.6413,-122.364,1580,2640
"45",2014-07-29,309000,3,1,1280,9656,1,FALSE,0,4,6,920,360,1959,NA,98058,47.4485,-122.175,1340,8808
"46",2014-07-18,488000,3,2.5,3160,13603,2,FALSE,0,3,8,3160,NA,2003,NA,98019,47.7443,-121.977,3050,9232
"47",2015-03-25,210490,3,1,990,8528,1,FALSE,0,3,6,990,NA,1966,NA,98023,47.3066,-122.371,1228,8840
"48",2014-07-16,785000,4,2.5,2290,13416,2,FALSE,0,4,9,2290,NA,1981,NA,98007,47.6194,-122.151,2680,13685
"49",2015-04-28,450000,3,1.75,1250,5963,1,FALSE,0,4,7,1250,NA,1953,NA,98115,47.6796,-122.301,970,5100
"50",2015-03-11,1350000,3,2.5,2753,65005,1,TRUE,2,5,9,2165,588,1953,NA,98070,47.4041,-122.451,2680,72513
"51",2014-09-16,228000,3,1,1190,9199,1,FALSE,0,3,7,1190,NA,1955,NA,98148,47.4258,-122.322,1190,9364
"52",2015-02-17,345000,5,2.5,3150,9134,1,FALSE,0,4,8,1640,1510,1966,NA,98056,47.4934,-122.189,1990,9133
"53",2014-12-31,6e+05,3,1.75,1410,4080,1,FALSE,0,4,7,1000,410,1950,NA,98117,47.6808,-122.384,1410,4080
"54",2015-02-05,585000,2,1.75,1980,8550,1,FALSE,0,3,7,990,990,1981,NA,98117,47.6989,-122.369,1480,6738
"55",2015-03-03,920000,5,2.25,2730,6000,1.5,FALSE,0,3,8,2130,600,1927,NA,98105,47.6571,-122.281,2730,6000
"56",2014-05-12,885000,4,2.5,2830,5000,2,FALSE,0,3,9,2830,NA,1995,NA,98105,47.6597,-122.29,1950,5000
"57",2014-08-19,292500,4,2.5,2250,4495,2,FALSE,0,3,7,2250,NA,2008,NA,98042,47.3663,-122.114,2250,4500
"58",2015-04-07,301000,3,2.5,2420,4750,2,FALSE,0,3,8,2420,NA,2003,NA,98042,47.3663,-122.122,2690,4750
"59",2014-08-27,951000,5,3.25,3250,14342,2,FALSE,4,4,8,3250,NA,1968,NA,98008,47.588,-122.116,2960,11044
"60",2015-02-23,430000,4,3,1850,9976,2,FALSE,0,3,8,1850,NA,1991,NA,98059,47.5059,-122.149,2270,8542
"61",2014-12-10,650000,3,2.25,2150,21235,1,FALSE,3,4,8,1590,560,1959,NA,98166,47.4336,-122.339,2570,18900
"62",2014-08-28,289000,3,1.75,1260,8400,1,FALSE,0,3,7,1260,NA,1954,NA,98148,47.4366,-122.335,1290,8750
"63",2014-10-21,505000,3,1.75,2519,8690,2,FALSE,0,5,8,2519,NA,1973,NA,98166,47.4428,-122.344,2500,9500
"64",2014-12-07,549000,3,1.75,1540,1044,3,FALSE,0,3,8,1540,NA,2014,NA,98115,47.6765,-122.32,1580,3090
"65",2014-06-03,425000,3,2.25,1660,6000,1,FALSE,0,3,7,1110,550,1979,NA,98122,47.6113,-122.297,1440,4080
"66",2014-11-20,317625,3,2.75,2770,3809,1.5,FALSE,0,5,7,1770,1000,1925,NA,98144,47.5747,-122.304,1440,4000
"67",2014-09-09,975000,4,2.5,2720,11049,2,FALSE,0,3,10,2720,NA,1989,NA,98004,47.5815,-122.192,2750,11049
"68",2014-10-09,287000,4,2.5,2240,4648,2,FALSE,0,3,7,2240,NA,2005,NA,98001,47.3378,-122.257,2221,4557
"69",2014-08-25,204000,3,1,1000,12070,1,FALSE,0,4,7,1000,NA,1968,NA,98042,47.3621,-122.11,1010,12635
"70",2014-06-12,1325000,5,2.25,3200,20158,1,FALSE,0,3,8,1600,1600,1965,NA,98004,47.6303,-122.215,3390,20158
"71",2014-09-12,1040000,5,3.25,4770,50094,1,FALSE,0,4,11,3070,1700,1973,NA,98005,47.6525,-122.16,3530,38917
"72",2015-01-05,325000,3,2,1260,5612,1,FALSE,0,4,7,1260,NA,1972,NA,98034,47.7362,-122.179,1640,4745
"73",2014-06-10,571000,4,2,2750,7807,1.5,FALSE,0,5,7,2250,500,1916,NA,98125,47.7168,-122.287,1510,7807
"74",2014-07-10,360000,4,2.5,2380,5000,2,FALSE,0,3,8,2380,NA,2005,NA,98038,47.3608,-122.036,2420,5000
"75",2015-03-16,349000,3,1.75,1790,50529,1,FALSE,0,5,7,1090,700,1965,NA,98042,47.3511,-122.073,1940,50529
"76",2014-11-05,832500,4,4,3430,35102,2,FALSE,0,4,10,2390,1040,1986,NA,98075,47.5822,-121.987,3240,35020
"77",2014-10-13,380000,4,1.75,1760,7300,1,FALSE,0,3,7,880,880,1956,NA,98008,47.6034,-122.125,1680,7500
"78",2015-04-20,480000,3,1,1040,5060,1,FALSE,0,3,7,1040,NA,1941,NA,98116,47.5636,-122.394,890,5060
"79",2014-06-09,410000,3,1,1410,5060,1,FALSE,0,4,7,910,500,1956,NA,98133,47.7073,-122.34,1130,5693
"80",2015-03-23,720000,4,2.5,3450,39683,2,FALSE,0,3,10,3450,NA,2002,NA,98010,47.342,-122.025,3350,39750
"81",2014-12-02,390000,3,2.5,2350,5100,2,FALSE,0,3,8,2350,NA,2003,NA,98038,47.3512,-122.008,2350,5363
"82",2014-12-22,360000,4,2.5,1900,5889,2,FALSE,0,3,7,1900,NA,1992,NA,98038,47.349,-122.031,1870,6405
"83",2014-10-28,355000,2,1,2020,6720,1,FALSE,0,3,7,1010,1010,1948,NA,98118,47.5474,-122.291,1720,6720
"84",2015-01-28,356000,3,1.5,1680,8712,1,FALSE,0,3,8,1680,NA,1964,NA,98059,47.4811,-122.149,1850,8797
"85",2014-06-02,315000,3,1,960,6634,1,FALSE,0,3,6,960,NA,1952,NA,98125,47.7264,-122.31,1570,7203
"86",2014-11-14,940000,3,1.5,2140,3600,2,FALSE,0,3,9,1900,240,1925,NA,98119,47.6337,-122.365,2020,4800
"87",2014-11-03,305000,5,2.25,2660,8400,1.5,FALSE,0,5,7,2660,NA,1961,NA,98092,47.2909,-122.189,1590,8165
"88",2014-06-18,461000,3,3.25,2770,6278,2,FALSE,0,3,9,1980,790,2006,NA,98056,47.5228,-122.199,1900,7349
"89",2014-05-19,215000,2,2.25,1610,2040,2,FALSE,0,4,7,1610,NA,1979,NA,98056,47.518,-122.194,1950,2025
"90",2014-09-04,335000,2,1.75,1030,1066,2,FALSE,0,3,7,765,265,2006,NA,98136,47.5394,-122.387,1030,1106
"91",2014-05-22,243500,4,2.5,1980,7403,2,FALSE,0,3,7,1980,NA,1988,NA,98023,47.2897,-122.372,1980,7510
"92",2015-03-11,1099880,5,2.75,3520,6353,2,FALSE,0,4,10,3520,NA,2001,NA,98199,47.6506,-122.391,2520,6250
"93",2015-02-26,153000,3,1,1200,10500,1,FALSE,0,3,7,1200,NA,1962,NA,98023,47.322,-122.351,1350,10500
"94",2014-07-25,430000,3,1.5,1580,5000,1,FALSE,0,3,8,1290,290,1939,NA,98117,47.687,-122.386,1570,4500
"95",2014-12-23,7e+05,3,1.5,1580,5000,1,FALSE,0,3,8,1290,290,1939,NA,98117,47.687,-122.386,1570,4500
"96",2014-09-08,905000,4,2.5,3300,10250,1,FALSE,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
"97",2015-03-30,247500,3,1.75,1960,15681,1,FALSE,0,3,7,1960,NA,1967,NA,98032,47.3576,-122.277,1750,15616
"98",2014-09-12,199000,4,1.5,1160,6400,1,FALSE,0,4,7,1160,NA,1975,NA,98023,47.3036,-122.378,1160,6400
"99",2014-07-11,314000,3,1.75,1810,41800,1,FALSE,0,5,7,1210,600,1980,NA,98038,47.4109,-121.958,1650,135036
"100",2014-05-16,437500,3,2.5,2320,36847,2,FALSE,2,3,9,2320,NA,1992,NA,98045,47.4838,-121.714,2550,35065
"101",2014-06-11,850830,3,2.5,2070,13241,1.5,FALSE,0,5,9,1270,800,1910,NA,98102,47.6415,-122.315,2200,4500
"102",2014-10-27,555000,3,2,1980,3478,1.5,FALSE,0,4,7,1440,540,1929,NA,98117,47.6775,-122.372,1610,3478
"103",2014-12-12,699950,3,2.25,2190,107593,2,FALSE,0,4,8,2190,NA,1983,NA,98077,47.7731,-122.08,2570,47777
"104",2014-10-07,1088000,3,2.5,2920,8113,2,FALSE,0,3,8,2920,NA,1950,2010,98004,47.5814,-122.196,2370,8113
"105",2014-09-24,290000,3,1,1210,33919,1,FALSE,0,3,7,1210,NA,1954,NA,98058,47.4375,-122.184,1640,14910
"106",2015-04-02,375000,3,2.5,2340,10005,1,FALSE,0,4,8,1460,880,1978,NA,98058,47.4431,-122.133,2250,8162
"107",2014-05-23,460000,3,1,1670,4005,1.5,FALSE,0,4,7,1170,500,1939,NA,98117,47.6878,-122.38,1240,4005
"108",2014-07-23,188500,2,1.75,1240,2493,1,FALSE,0,4,8,1240,NA,1985,NA,98198,47.3813,-122.322,1270,4966
"109",2015-03-05,680000,4,2.5,3140,28037,2,FALSE,0,4,10,3140,NA,1991,NA,98077,47.7304,-122.082,2990,35001
"110",2014-08-27,470000,5,1.75,2030,12342,2,FALSE,0,4,7,2030,NA,1942,NA,98052,47.6417,-122.109,2500,9433
"111",2014-07-25,597750,4,2.5,2310,9624,2,FALSE,0,3,8,2310,NA,1984,NA,98027,47.5386,-122.053,1940,9636
"112",2015-03-04,570000,3,1.75,1260,3328,1,FALSE,0,5,6,700,560,1905,NA,98103,47.6823,-122.349,1380,3536
"113",2014-09-16,272500,3,1.75,1540,12600,1,FALSE,0,4,7,1160,380,1980,NA,98038,47.3624,-122.031,1540,11656
"114",2014-11-24,329950,3,1.75,2080,5969,1,FALSE,2,3,7,1080,1000,1971,NA,98108,47.5474,-122.295,2090,5500
"115",2014-10-28,480000,4,2.5,3230,16171,2,FALSE,3,3,9,2520,710,2001,NA,98001,47.3183,-122.253,2640,8517
"116",2014-11-21,740500,3,3.5,4380,6350,2,FALSE,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350
"117",2014-06-26,518500,3,3.5,1590,1102,3,FALSE,0,3,8,1590,NA,2010,NA,98103,47.6824,-122.347,1620,3166
"118",2014-06-23,205425,2,1,880,6780,1,FALSE,0,4,6,880,NA,1945,NA,98178,47.5009,-122.248,1190,6780
"119",2015-01-08,171800,4,2,1570,9600,1,FALSE,0,3,6,1570,NA,1950,NA,98168,47.4965,-122.303,1880,9000
"120",2015-05-11,535000,4,1,1610,2982,1.5,FALSE,0,4,7,1610,NA,1925,NA,98144,47.587,-122.294,1610,4040
"121",2015-01-02,660000,3,2.5,2400,6474,1,FALSE,2,3,8,1560,840,1964,NA,98177,47.7728,-122.386,2340,10856
"122",2014-11-19,391500,3,2,1450,9132,1,FALSE,0,3,7,1450,NA,1987,NA,98034,47.7288,-122.226,1580,9104
"123",2015-04-06,395000,2,1,770,6000,1,FALSE,0,3,6,770,NA,1953,NA,98117,47.6999,-122.364,1710,6000
"124",2014-11-04,445000,4,1.75,2100,4400,1.5,FALSE,0,5,7,1720,380,1924,NA,98118,47.5299,-122.266,1850,4400
"125",2014-06-18,770000,3,2.25,2910,10204,2,FALSE,0,3,9,2910,NA,1990,NA,98052,47.6897,-122.098,2700,13992
"126",2015-03-02,1450000,4,2.75,2750,17789,1.5,FALSE,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
"127",2014-07-17,445000,3,2.25,2100,8201,1,FALSE,2,3,8,1620,480,1967,NA,98178,47.5091,-122.244,2660,8712
"128",2014-07-17,260000,4,2.25,2160,8811,1,FALSE,0,3,8,1360,800,1978,NA,98023,47.3129,-122.39,2090,8400
"129",2014-06-13,822500,5,3.5,2320,4960,2,FALSE,0,5,7,1720,600,1926,NA,98103,47.6763,-122.352,1700,4960
"130",2015-04-06,430000,4,2.5,2070,4310,2,FALSE,0,3,7,2070,NA,2004,NA,98065,47.5319,-121.85,1970,3748
"131",2015-01-05,212000,3,1.75,1060,7875,1,FALSE,0,4,7,1060,NA,1986,NA,98092,47.2761,-122.152,1420,7680
"132",2015-04-28,660500,4,2.25,2010,9603,1,FALSE,0,3,8,1440,570,1986,NA,98027,47.5343,-122.054,2060,9793
"133",2014-06-12,784000,3,3.5,3950,111078,1.5,FALSE,0,3,9,2460,1490,1989,NA,98052,47.697,-122.072,2480,88500
"134",2014-05-12,453246,3,2.5,2010,2287,2,FALSE,0,3,8,1390,620,2014,NA,98029,47.5517,-121.998,1690,1662
"135",2015-01-26,675000,4,3.5,2140,2278,3,FALSE,0,3,9,2140,NA,2005,NA,98107,47.6734,-122.38,1540,2285
"136",2014-08-13,199000,3,1.75,1320,17390,1,FALSE,0,4,7,1320,NA,1956,NA,98003,47.3257,-122.296,1550,19265
"137",2014-08-05,220000,4,1.75,2020,7840,1,FALSE,0,3,7,1010,1010,1968,NA,98003,47.3309,-122.299,1750,8140
"138",2014-05-29,452000,4,2.25,2590,10002,1,FALSE,0,4,8,1340,1250,1968,NA,98028,47.7689,-122.266,1550,10436
"139",2014-07-07,382500,2,1,1190,4440,1,FALSE,0,3,6,1190,NA,1981,NA,98125,47.7135,-122.287,1060,5715
"140",2014-05-07,519950,3,2.25,1170,1249,3,FALSE,0,3,8,1170,NA,2014,NA,98107,47.6722,-122.381,1350,1310
"141",2014-06-27,665000,2,1,1110,3200,1,FALSE,0,3,7,1110,NA,1925,NA,98119,47.6338,-122.358,1170,3600
"142",2014-07-08,527700,5,2.5,2820,9375,1,FALSE,0,4,8,1550,1270,1968,NA,98006,47.5707,-122.128,2820,9375
"143",2015-05-08,205000,3,1,1610,8579,1,FALSE,0,4,7,1010,600,1962,NA,98058,47.4563,-122.171,1610,8579
"144",2015-04-15,420000,3,1,1060,8097,1,FALSE,0,4,7,940,120,1923,NA,98133,47.7144,-122.351,1560,7940
"145",2015-02-27,5e+05,4,2.25,2030,8517,1,FALSE,0,4,8,1380,650,1961,NA,98006,47.5495,-122.174,2230,8824
"146",2014-12-03,921500,4,2.5,3670,315374,2,FALSE,0,4,9,3670,NA,1994,NA,98077,47.7421,-122.026,2840,87991
"147",2014-06-25,890000,4,1,2550,4000,2,FALSE,0,3,8,2370,180,1905,NA,98109,47.6354,-122.353,2200,4000
"148",2014-08-06,430000,2,2.5,2420,60984,2,FALSE,0,3,7,2420,NA,2007,NA,98027,47.5262,-121.943,1940,193842
"149",2014-10-30,258000,5,2,2260,12500,1,FALSE,0,4,8,1130,1130,1960,NA,98032,47.3887,-122.286,1360,18000
"150",2014-11-04,511000,3,1,1430,3455,1,FALSE,0,3,7,980,450,1947,NA,98103,47.6873,-122.336,1450,4599
"151",2014-08-20,532170,3,2,1360,3090,2,FALSE,0,3,8,1360,NA,1990,NA,98103,47.6838,-122.353,1500,3090
"152",2015-04-09,560000,3,1,1110,5000,1.5,FALSE,0,3,7,1110,NA,1947,NA,98107,47.655,-122.359,1420,5000
"153",2015-03-31,282950,3,1,1250,8200,1,FALSE,0,4,7,1250,NA,1954,NA,98003,47.3255,-122.304,1680,8633
"154",2015-04-01,2250000,4,3.25,5180,19850,2,FALSE,3,3,12,3540,1640,2006,NA,98006,47.562,-122.162,3160,9750
"155",2014-05-16,350000,1,1,700,5100,1,FALSE,0,3,7,700,NA,1942,NA,98115,47.679,-122.3,1010,5100
"156",2014-07-28,215000,3,1,1180,7669,1,FALSE,0,4,7,1180,NA,1967,NA,98058,47.4479,-122.176,1190,7669
"157",2014-11-20,650000,5,3.5,3960,25245,2,FALSE,0,3,9,2500,1460,1996,NA,98056,47.525,-122.172,2640,13675
"158",2014-08-07,320000,4,2.75,2640,7500,1,FALSE,0,3,8,1620,1020,1967,NA,98023,47.3135,-122.369,1980,7875
"159",2014-11-13,247000,3,2,1270,7198,1.5,FALSE,0,3,7,1270,NA,1916,2013,98022,47.2086,-121.996,1160,7198
"160",2014-10-03,320000,4,1.75,1760,11180,1,FALSE,0,4,8,1760,NA,1968,NA,98059,47.4715,-122.118,1730,11180
"161",2014-05-07,255000,5,2.25,2060,8632,1,FALSE,0,3,7,1030,1030,1962,NA,98146,47.4877,-122.335,1010,11680
"162",2015-03-09,438000,3,1.75,1780,9660,1,FALSE,0,3,7,1780,NA,1962,NA,98034,47.7171,-122.193,1200,9660
"163",2015-03-04,9e+05,3,2.5,3400,16603,2,FALSE,0,3,10,3400,NA,2000,NA,98075,47.6012,-122.023,3400,12601
"164",2014-06-20,441000,3,2.75,1910,7280,1,FALSE,0,3,7,1160,750,1979,NA,98034,47.7319,-122.224,1710,8152
"165",2014-08-12,420000,3,2,2020,38332,1,FALSE,0,4,7,1010,1010,1975,NA,98027,47.4582,-122.023,2110,36590
"166",2014-12-08,370000,3,1.75,1580,7000,1,FALSE,0,3,7,1180,400,1976,NA,98034,47.7209,-122.168,1640,7500
"167",2015-02-19,269950,2,1.75,1340,7250,1,FALSE,0,5,5,700,640,1949,NA,98198,47.408,-122.327,1830,9750
"168",2015-03-24,807100,4,2.5,2680,4499,2,FALSE,0,3,9,2680,NA,1999,NA,98006,47.565,-122.125,2920,4500
"169",2014-06-05,653000,3,2.5,2680,9750,1,FALSE,0,4,8,1610,1070,1979,NA,98034,47.7028,-122.231,2480,8750
"170",2014-06-11,371500,3,2,1370,8336,1,FALSE,0,5,7,1370,NA,1964,NA,98133,47.7458,-122.331,1770,7288
"171",2015-03-16,284000,3,1.75,1560,21000,1,FALSE,0,3,7,1560,NA,1954,NA,98166,47.4776,-122.337,1070,7920
"172",2015-01-02,272000,3,1.75,2160,7140,1,FALSE,0,4,7,1670,490,1978,NA,98023,47.3026,-122.374,1930,7350
"173",2014-05-02,313000,3,1.5,1340,7912,1.5,FALSE,0,3,7,1340,NA,1955,NA,98133,47.7658,-122.339,1480,7940
"174",2015-01-16,917500,4,2.5,3880,35003,2,FALSE,0,3,10,2570,1310,1984,NA,98033,47.6477,-122.182,3740,35230
"175",2014-09-29,673000,4,2.25,2590,8190,2,FALSE,0,4,8,2590,NA,1980,NA,98006,47.5619,-122.125,2260,8335
"176",2015-02-10,425000,3,2.5,1120,1100,2,FALSE,0,3,8,820,300,2008,NA,98122,47.6106,-122.31,1590,1795
"177",2014-07-09,399950,5,2.75,1970,5400,1,FALSE,0,3,7,1320,650,1986,NA,98144,47.5868,-122.308,1280,2150
"178",2014-05-30,385000,3,1,1220,4800,1,FALSE,0,3,6,1220,NA,1901,NA,98122,47.6101,-122.307,1200,4800
"179",2014-11-17,269950,3,1.5,1950,7560,1,FALSE,2,4,7,1320,630,1975,NA,98022,47.1976,-121.999,1950,8941
"180",2015-01-07,330000,2,1,1350,8220,1,FALSE,0,3,7,1060,290,1949,NA,98177,47.7224,-122.358,1540,8280
"181",2014-07-25,260000,3,2.5,1670,5797,2,FALSE,0,3,7,1670,NA,1988,NA,98030,47.3505,-122.179,1670,6183
"182",2015-04-14,470000,4,3,2380,5125,1.5,FALSE,0,4,7,1680,700,1925,NA,98126,47.5384,-122.376,1410,5375
"183",2014-06-13,589000,4,3,2440,9600,2,FALSE,0,5,7,2440,NA,1961,NA,98034,47.7044,-122.2,2290,9600
"184",2014-07-23,163500,2,1.5,1050,3419,2,FALSE,0,3,7,1050,NA,1996,NA,98038,47.3848,-122.039,1050,3417
"185",2014-09-05,835000,4,2.75,3130,13412,2,FALSE,0,3,9,2140,990,1993,NA,98052,47.6993,-122.102,2260,9984
"186",2014-11-21,1095000,5,3,4090,12850,1,FALSE,2,4,10,2090,2000,1986,NA,98033,47.6627,-122.188,2540,10270
"187",2015-04-15,269000,4,1.75,1490,10000,1,FALSE,0,4,8,1100,390,1969,NA,98023,47.3099,-122.379,2190,8910
"188",2014-05-05,560000,3,2.5,1900,8744,2,FALSE,0,3,8,1900,NA,1987,NA,98074,47.62,-122.043,2030,8744
"189",2015-04-18,615000,4,1,1330,2400,1.5,FALSE,0,4,6,1330,NA,1901,NA,98103,47.65,-122.34,1330,4400
"190",2014-12-05,585188,3,2.25,2230,10026,1,FALSE,0,3,8,1430,800,1975,NA,98052,47.6647,-122.153,2230,9340
"191",2014-08-18,305000,3,1.75,1650,9480,1,FALSE,0,3,7,1220,430,1977,NA,98034,47.726,-122.191,1540,8400
"192",2014-11-05,166950,3,1,1190,8820,1,FALSE,0,3,6,1190,NA,1959,NA,98058,47.4616,-122.184,1230,7980
"193",2014-09-12,799000,3,2.5,2140,9897,1,FALSE,0,4,8,2140,NA,1959,NA,98040,47.5505,-122.219,2680,10083
"194",2014-06-25,4e+05,3,2.5,2180,7508,1,FALSE,0,4,7,1420,760,1962,NA,98133,47.7606,-122.336,1900,7818
"195",2014-12-01,230000,3,1,1060,10228,1,FALSE,0,3,7,1060,NA,1948,NA,98155,47.7481,-122.3,1570,10228
"196",2014-05-15,256883,3,2.5,1690,5025,2,FALSE,0,3,8,1690,NA,2003,NA,98023,47.2779,-122.347,2550,5001
"197",2014-11-11,423000,4,2,1970,6480,1.5,FALSE,0,5,7,1130,840,1920,NA,98108,47.5511,-122.312,1500,6480
"198",2014-07-23,465000,3,2.5,2150,4084,2,FALSE,0,3,8,2150,NA,2007,NA,98126,47.5488,-122.372,1750,2385
"199",2015-01-13,440000,3,2.5,1910,66211,2,FALSE,0,3,7,1910,NA,1997,NA,98024,47.5385,-121.911,2330,67268
"200",2014-10-14,385000,3,1.75,1350,155073,1,FALSE,0,4,7,1350,NA,1969,NA,98038,47.4058,-121.994,1560,50965
"201",2015-03-11,210000,3,1,860,11725,1,FALSE,0,4,6,860,NA,1943,NA,98056,47.5093,-122.184,1300,9514
"202",2014-11-12,297000,3,2.5,1940,14952,2,FALSE,0,3,8,1940,NA,1994,NA,98042,47.3777,-122.165,2030,10450
